policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1460,National Early Childhood Education Reform 83,Secondary,Punjab,2023,Teachers,Under Review,5.34,"EdTech Companies, Universities",0.856,This policy aims to improve vocational skills in Secondary through public-private partnerships in Punjab.,Increase reach by 10% in 5 years.,This policy aims to improve vocational skills in Secondary through public-private partnerships in Punjab. Goals: Increase reach by 10% in 5 years.,"national early childhood education reform 83. this policy aims to improve vocational skills in secondary through public-private partnerships in punjab. goals: increase reach by 10% in 5 years.. stakeholders: edtech companies, universities"
P1161,State Vocational Education Reform 69,Higher Education,Delhi,2019,Rural Students,Pilot,0.14,"Central Government, Donors",0.778,This policy aims to improve teacher quality in Higher Education through teacher training programs in Delhi.,Increase reach by 28% in 3 years.,This policy aims to improve teacher quality in Higher Education through teacher training programs in Delhi. Goals: Increase reach by 28% in 3 years.,"state vocational education reform 69. this policy aims to improve teacher quality in higher education through teacher training programs in delhi. goals: increase reach by 28% in 3 years.. stakeholders: central government, donors"
P1277,District Higher Education Education Reform 65,Vocational,West Bengal,2024,Disadvantaged Groups,Implemented,51.83,"Teachers' Unions, Community Leaders",0.964,This policy aims to improve digital access in Vocational through teacher training programs in West Bengal.,Increase reach by 13% in 4 years.,This policy aims to improve digital access in Vocational through teacher training programs in West Bengal. Goals: Increase reach by 13% in 4 years.,"district higher education education reform 65. this policy aims to improve digital access in vocational through teacher training programs in west bengal. goals: increase reach by 13% in 4 years.. stakeholders: teachers' unions, community leaders"
P1444,National Early Childhood Education Reform 61,Vocational,Delhi,2015,Disadvantaged Groups,Pilot,8.72,"Central Government, Donors",0.616,This policy aims to improve early childhood development in Vocational through teacher training programs in Delhi.,Increase reach by 5% in 4 years.,This policy aims to improve early childhood development in Vocational through teacher training programs in Delhi. Goals: Increase reach by 5% in 4 years.,"national early childhood education reform 61. this policy aims to improve early childhood development in vocational through teacher training programs in delhi. goals: increase reach by 5% in 4 years.. stakeholders: central government, donors"
P1192,State Higher Education Education Reform 45,Primary,Gujarat,2016,All,Implemented,17.16,"EdTech Companies, Universities",0.713,This policy aims to improve vocational skills in Primary through scholarship schemes in Gujarat.,Increase reach by 32% in 2 years.,This policy aims to improve vocational skills in Primary through scholarship schemes in Gujarat. Goals: Increase reach by 32% in 2 years.,"state higher education education reform 45. this policy aims to improve vocational skills in primary through scholarship schemes in gujarat. goals: increase reach by 32% in 2 years.. stakeholders: edtech companies, universities"
P1386,National Primary Education Reform 14,Vocational,Tamil Nadu,2017,Disadvantaged Groups,Under Review,19.49,"EdTech Companies, Universities",0.421,This policy aims to improve learning outcomes in Vocational through grants to schools in Tamil Nadu.,Increase reach by 24% in 3 years.,This policy aims to improve learning outcomes in Vocational through grants to schools in Tamil Nadu. Goals: Increase reach by 24% in 3 years.,"national primary education reform 14. this policy aims to improve learning outcomes in vocational through grants to schools in tamil nadu. goals: increase reach by 24% in 3 years.. stakeholders: edtech companies, universities"
P1294,National Secondary Education Reform 79,Higher Education,Uttar Pradesh,2016,Teachers,Proposed,0.36,"Ministry of Education, Local NGOs",0.359,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Uttar Pradesh.,Increase reach by 11% in 2 years.,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Uttar Pradesh. Goals: Increase reach by 11% in 2 years.,"national secondary education reform 79. this policy aims to improve learning outcomes in higher education through digital device distribution in uttar pradesh. goals: increase reach by 11% in 2 years.. stakeholders: ministry of education, local ngos"
P1414,District Early Childhood Education Reform 75,Higher Education,Punjab,2015,Rural Students,Proposed,0.28,"Central Government, Donors",0.611,This policy aims to improve teacher quality in Higher Education through curriculum reform in Punjab.,Increase reach by 27% in 3 years.,This policy aims to improve teacher quality in Higher Education through curriculum reform in Punjab. Goals: Increase reach by 27% in 3 years.,"district early childhood education reform 75. this policy aims to improve teacher quality in higher education through curriculum reform in punjab. goals: increase reach by 27% in 3 years.. stakeholders: central government, donors"
P1344,District Primary Education Reform 96,Early Childhood,Rajasthan,2016,Rural Students,Pilot,35.9,"Ministry of Education, Local NGOs",0.869,This policy aims to improve infrastructure in Early Childhood through grants to schools in Rajasthan.,Increase reach by 20% in 4 years.,This policy aims to improve infrastructure in Early Childhood through grants to schools in Rajasthan. Goals: Increase reach by 20% in 4 years.,"district primary education reform 96. this policy aims to improve infrastructure in early childhood through grants to schools in rajasthan. goals: increase reach by 20% in 4 years.. stakeholders: ministry of education, local ngos"
P1258,District Higher Education Education Reform 40,Secondary,Maharashtra,2021,Women,Under Review,5.98,"Ministry of Education, Local NGOs",0.365,This policy aims to improve teacher quality in Secondary through curriculum reform in Maharashtra.,Increase reach by 38% in 5 years.,This policy aims to improve teacher quality in Secondary through curriculum reform in Maharashtra. Goals: Increase reach by 38% in 5 years.,"district higher education education reform 40. this policy aims to improve teacher quality in secondary through curriculum reform in maharashtra. goals: increase reach by 38% in 5 years.. stakeholders: ministry of education, local ngos"
